,logFC,AveExpr,t,P.Value,adj.P.Val,B,Time_point,DEG_Test,SYMBOL
Cfap69,-0.768501397,7.701224788,-3.988957832,0.00014958,0.00504014,0.845270408,P30,MUT cells from HET vs WT cells from WT,Cfap69
Ildr2,-0.767141521,7.793283891,-3.631529087,0.000504412,0.010343807,-0.222363388,P30,MUT cells from HET vs WT cells from WT,Ildr2
Braf,-0.766853803,8.157098209,-2.968098431,0.00398737,0.036950292,-1.961718773,P30,MUT cells from HET vs WT cells from WT,Braf
Fdft1,-0.765136767,7.699957155,-3.449387157,0.000912823,0.014684207,-0.752958207,P30,MUT cells from HET vs WT cells from WT,Fdft1
Mgat5,-0.764506428,7.889354845,-3.542379821,0.000675879,0.012400684,-0.473727549,P30,MUT cells from HET vs WT cells from WT,Mgat5
Srcap,-0.763947508,8.272627489,-2.83294045,0.005879213,0.045921374,-2.274001826,P30,MUT cells from HET vs WT cells from WT,Srcap
E130307A14Rik,-0.763613173,7.781008612,-3.533378594,0.000695977,0.012612352,-0.504153782,P30,MUT cells from HET vs WT cells from WT,E130307A14Rik
Gm28928,-0.76290741,7.507913001,-4.143239312,8.67765582417551e-05,0.004664541,1.320247406,P30,MUT cells from HET vs WT cells from WT,Gm28928
Iqcc,-0.762854587,7.615598918,-5.615820018,2.94676674266876e-07,0.00058084,6.509021566,P30,MUT cells from HET vs WT cells from WT,Iqcc
Cand1,-0.762131557,7.97302498,-3.494155665,0.000790345,0.013565461,-0.608668899,P30,MUT cells from HET vs WT cells from WT,Cand1
Dlg4,-0.761732543,8.152916244,-2.829104655,0.005943338,0.046236119,-2.285807297,P30,MUT cells from HET vs WT cells from WT,Dlg4
Cnnm2,-0.761673829,7.730823385,-2.822728907,0.006051347,0.046798765,-2.363666889,P30,MUT cells from HET vs WT cells from WT,Cnnm2
Kcnh3,-0.761022164,7.460186621,-3.97665007,0.000156143,0.005045461,0.779628496,P30,MUT cells from HET vs WT cells from WT,Kcnh3
Npas2,-0.760611101,7.47886067,-4.734287715,9.76207540612418e-06,0.001659015,3.314903888,P30,MUT cells from HET vs WT cells from WT,Npas2
Ptms,-0.760479094,8.335728421,-2.757879856,0.007256925,0.05303192,-2.441484046,P30,MUT cells from HET vs WT cells from WT,Ptms
Gde1,-0.758918308,7.855900474,-3.245539998,0.001733603,0.022175801,-1.282308255,P30,MUT cells from HET vs WT cells from WT,Gde1
Ube2g1,-0.757204507,7.740302098,-3.17526369,0.00215037,0.025367544,-1.484916221,P30,MUT cells from HET vs WT cells from WT,Ube2g1
Rnf168,-0.756066293,7.696630319,-4.052140474,0.000119849,0.004886899,1.043204731,P30,MUT cells from HET vs WT cells from WT,Rnf168
Wdr61,-0.755162865,7.724233443,-3.28986485,0.001511046,0.020197097,-1.188748796,P30,MUT cells from HET vs WT cells from WT,Wdr61
