"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Timepoint","DEG_Test","SYMBOL"
"Kcnq1ot11",-0.0904027740092683,9.77058743684054,-0.765852800988545,0.444748838103565,0.649815328375855,-5.52937393711191,"P60","MUT cells from HET vs WT cells from WT","Kcnq1ot11"
"Dok51",0.0903961642605955,7.44895999282286,0.966681736589894,0.334976701150469,0.552763898752067,-5.77021186275068,"P60","MUT cells from HET vs WT cells from WT","Dok51"
"Cct41",0.0902370218344917,7.56588586926487,0.947508807518193,0.344626873636292,0.561093525659956,-5.68651838757526,"P60","MUT cells from HET vs WT cells from WT","Cct41"
"Mir9-3hg1",0.0901809335102399,7.9486673009707,0.63262111061395,0.527769371948392,0.717609107585622,-5.69778605887104,"P60","MUT cells from HET vs WT cells from WT","Mir9-3hg1"
"Fbxw91",0.0899732042482375,7.58943907314592,0.80976443801099,0.41912540191685,0.628243623511446,-5.78764183154312,"P60","MUT cells from HET vs WT cells from WT","Fbxw91"
"Chsy31",0.089820473539941,7.75505328865959,0.717956667826206,0.473697945096728,0.674246847497315,-5.73276713599874,"P60","MUT cells from HET vs WT cells from WT","Chsy31"
"Fndc3b1",0.0897957872021111,7.65307019948699,0.785157090376135,0.433374989169579,0.640544793919347,-5.75104527002997,"P60","MUT cells from HET vs WT cells from WT","Fndc3b1"
"Csnk2a21",-0.0897281856311194,7.79048932109152,-0.640345902622544,0.522747300341289,0.714776920874823,-5.76210766220623,"P60","MUT cells from HET vs WT cells from WT","Csnk2a21"
"Ptpa1",0.0897278773350108,7.91542862376919,0.587831590981439,0.557368741417721,0.739813816188201,-5.74007151880898,"P60","MUT cells from HET vs WT cells from WT","Ptpa1"
"Tbl1x1",0.0896973446552147,7.73942561425471,0.737558982031991,0.461725488198683,0.665178799828019,-5.72696062925793,"P60","MUT cells from HET vs WT cells from WT","Tbl1x1"
"Edem21",0.0895686683855681,7.49986187129924,0.965522340219991,0.335555218141948,0.553193513639025,-5.72901265274034,"P60","MUT cells from HET vs WT cells from WT","Edem21"
"Adcy11",0.0895505603376066,8.58092841236375,0.536536015705157,0.592238647296274,0.766051898189036,-5.60834643154352,"P60","MUT cells from HET vs WT cells from WT","Adcy11"
"Ppp3r11",-0.0895485562221445,8.14515338358031,-0.532884875860445,0.594758646213797,0.767485415830519,-5.69306569269887,"P60","MUT cells from HET vs WT cells from WT","Ppp3r11"
"Tdrkh1",0.0894749793190632,7.5173054823168,0.957176821881776,0.339738597833041,0.556880392778319,-5.72049427508906,"P60","MUT cells from HET vs WT cells from WT","Tdrkh1"
"Mturn1",0.0894688708386813,7.65791230308106,0.817033534189255,0.414969782634843,0.624535348754886,-5.72333202411742,"P60","MUT cells from HET vs WT cells from WT","Mturn1"
"Sorbs11",0.0894504801183693,8.24764972265816,0.556073689875737,0.578838550660628,0.755803807927154,-5.65474050223164,"P60","MUT cells from HET vs WT cells from WT","Sorbs11"
"Mtx31",-0.0894355839960443,7.70790816579238,-0.635627883004109,0.525811653715476,0.717116779075426,-5.81034910314135,"P60","MUT cells from HET vs WT cells from WT","Mtx31"
"Parp81",0.0893483662827084,7.54137650579991,0.822573318910186,0.411819330061785,0.622290022711162,-5.81144029609096,"P60","MUT cells from HET vs WT cells from WT","Parp81"
"Faim21",0.0893154702451504,8.70084040637721,0.527730306188148,0.598324687200379,0.769206454553399,-5.60923376281573,"P60","MUT cells from HET vs WT cells from WT","Faim21"
"Aifm11",0.0892824452759289,7.55928892954404,0.74734832701525,0.455810843972222,0.659736744378847,-5.856727985661,"P60","MUT cells from HET vs WT cells from WT","Aifm11"
"Mettl251",0.0892006136520926,7.68724390548151,0.620664648993563,0.535591155939697,0.722855401829404,-5.8313976718623,"P60","MUT cells from HET vs WT cells from WT","Mettl251"
"Sf11",-0.0891615896110007,8.40511824552043,-0.578869832860358,0.563387557548029,0.744956536532941,-5.61757746857296,"P60","MUT cells from HET vs WT cells from WT","Sf11"
"Gnb21",0.0890926550990798,8.21850154829952,0.515980127428631,0.606490053589438,0.774523717177526,-5.6842021730518,"P60","MUT cells from HET vs WT cells from WT","Gnb21"
"Shank11",-0.0890829335158703,8.70343740965511,-0.557803928222463,0.577658804403797,0.754788728581942,-5.59708184131818,"P60","MUT cells from HET vs WT cells from WT","Shank11"
"Trpc11",0.0890606873105639,8.53913627733052,0.522744784901914,0.601783054976551,0.770874026040294,-5.61699714367356,"P60","MUT cells from HET vs WT cells from WT","Trpc11"
"Ankrd451",-0.0890552206417778,7.57620317913423,-0.762199308107687,0.446920590924665,0.65158191457134,-5.82143912663869,"P60","MUT cells from HET vs WT cells from WT","Ankrd451"
"Cacna1h1",0.089041198562188,7.61687897430088,0.798284456670755,0.425738343995594,0.633101597491868,-5.76638504304185,"P60","MUT cells from HET vs WT cells from WT","Cacna1h1"
