"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Timepoint","DEG_Test"
"Fyn",0.015448314781894,7.59723350885293,0.175341362444248,0.860907732892613,0.943687322593825,-5.9698011105747,"P30","WT cells from WT vs WT cells from HET"
"Tmem64",-0.0154164619125243,7.50650553338686,-0.222022287908355,0.824419544581549,0.923260925609697,-6.0057801712263,"P30","WT cells from WT vs WT cells from HET"
"Lamtor1",-0.0153960685431409,7.53931495208867,-0.194290387254431,0.846055591000185,0.935504231759848,-5.99442943331091,"P30","WT cells from WT vs WT cells from HET"
"Fam120c",0.0153891880387427,7.81729145644628,0.171086703255106,0.864249508860202,0.944579585055379,-5.88204702375118,"P30","WT cells from WT vs WT cells from HET"
"Ptpn23",0.0153587849919949,7.63416289886961,0.20254586917302,0.839601800782452,0.931460328676963,-5.94822941546721,"P30","WT cells from WT vs WT cells from HET"
"Uchl5",-0.015348494534754,7.54409589131734,-0.197145274548835,0.84382256316769,0.933664847834368,-5.9923407183172,"P30","WT cells from WT vs WT cells from HET"
"Kdm3b",-0.015345143447508,7.97006597237633,-0.158300303110185,0.874306895046831,0.948289617750087,-5.8316050638617,"P30","WT cells from WT vs WT cells from HET"
"Ralbp1",0.0153064645938334,7.81532413846498,0.175598355171346,0.860705960170436,0.943608570183483,-5.88266713063875,"P30","WT cells from WT vs WT cells from HET"
"Bcl2l13",-0.0152900143470154,7.57477128735276,-0.212682747621907,0.831692043975509,0.926647554993593,-5.97379579596473,"P30","WT cells from WT vs WT cells from HET"
"Prpf39",-0.0152866829544926,8.65999649603734,-0.14823696940276,0.882236849867361,0.953728456666957,-5.71772887775123,"P30","WT cells from WT vs WT cells from HET"
"Rabggta",-0.015214965125077,7.53046930890892,-0.226902741003569,0.820625210663967,0.922733816866825,-5.99164006809028,"P30","WT cells from WT vs WT cells from HET"
"Mon1a",-0.0151945745108284,7.52627456890575,-0.18589803087511,0.852627028230683,0.939098470609737,-6.00406079610973,"P30","WT cells from WT vs WT cells from HET"
"Mthfsd",0.0151825722634324,7.89353051271851,0.173304434076135,0.862507308060379,0.944340073609763,-5.85514675550541,"P30","WT cells from WT vs WT cells from HET"
"Cbln2",-0.0151806613327885,7.44971472464766,-0.221502923987364,0.824823571102321,0.923260925609697,-6.03400859011012,"P30","WT cells from WT vs WT cells from HET"
"Stk4",0.0151648832220586,7.80628975270252,0.145941049759301,0.884047736814992,0.954226296901066,-5.88956481644228,"P30","WT cells from WT vs WT cells from HET"
"Papola",0.0151520556600406,8.13908406691933,0.160281165068751,0.872747432444466,0.947584324550217,-5.78667632102279,"P30","WT cells from WT vs WT cells from HET"
"Pmm1",-0.0151382867975345,7.7148871981475,-0.163151733118271,0.870488418094788,0.946485663385318,-5.92240492214815,"P30","WT cells from WT vs WT cells from HET"
"Pafah1b2",-0.0150569575495014,7.7604693621582,-0.172050076536081,0.863492621967472,0.944449991056329,-5.90383270471093,"P30","WT cells from WT vs WT cells from HET"
"Serpinb6a",-0.014972069251928,7.62748567198619,-0.180917172236716,0.856532065613964,0.941037236046843,-5.9564842496686,"P30","WT cells from WT vs WT cells from HET"
"Galnt1",-0.0149379934461535,7.58704934239407,-0.197420613515294,0.843607265624827,0.933664847834368,-5.97097533347483,"P30","WT cells from WT vs WT cells from HET"
"Dennd1b",-0.0149109204499069,7.85980157538818,-0.159755354308241,0.873161336525776,0.947584324550217,-5.86918007578078,"P30","WT cells from WT vs WT cells from HET"
"Sec62",-0.014884149429923,8.0316787637779,-0.141864252946689,0.887264768914499,0.955699025671325,-5.81662246941557,"P30","WT cells from WT vs WT cells from HET"
"Mef2d",0.0148767337946616,7.93849184361496,0.156543647884602,0.875690258061046,0.94925798258893,-5.84180737134348,"P30","WT cells from WT vs WT cells from HET"
"Fubp1",0.0148704277124114,9.18286737237899,0.168503062932452,0.866279995562409,0.945169763139729,-5.73221343312498,"P30","WT cells from WT vs WT cells from HET"
"Nrn1",0.0148653862529606,8.280658056078,0.144691296659342,0.885033725221277,0.954694444238693,-5.76145599739288,"P30","WT cells from WT vs WT cells from HET"
