"","SYMBOL","logFC","P.Value","adj.P.Val","celltype","sex","timepoint","region","method"
"124","ENO1",-0.495471035,2.69352e-06,8.15877e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"125","LNPEP",-0.494971644,2.74747e-06,8.25559e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"126","CACNG8",-0.492261573,3.12034e-06,9.3016e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"127","SYT7",-0.464335132,3.30311e-06,9.76889e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"128","TMEM245",-0.459037113,3.4038e-06,9.98802e-05,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"129","OLFM3",0.504403664,3.73906e-06,0.000108867,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"130","ANKH",-0.456731095,3.95963e-06,0.000114403,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"131","DDAH1",-0.445969434,3.99606e-06,0.000114574,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"132","ENO2",-0.640297076,4.0381e-06,0.000114902,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"133","GFOD1",-0.460536554,4.2489e-06,0.000119991,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"134","ARHGAP5",-0.505358037,4.31414e-06,0.000120925,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"135","FOXO3",-0.460282044,4.45528e-06,0.000123185,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"136","CANX",-0.525440247,4.46037e-06,0.000123185,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"137","HSP90AA1",0.752626448,4.54949e-06,0.000124729,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"138","RGS6",0.450234893,4.62671e-06,0.000125927,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"139","CCSAP",-0.480086508,5.04698e-06,0.000136377,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"140","PRKCA",-0.453891679,5.16912e-06,0.00013868,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"141","SLC24A4",-0.476095303,5.5092e-06,0.000146756,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"142","PPP1CB",-0.478030819,5.90394e-06,0.000155272,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"143","LSAMP",-0.592277519,5.91157e-06,0.000155272,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"144","ATP6V1A",-0.478916724,6.23534e-06,0.000162638,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"145","SV2B",-0.562703331,7.08622e-06,0.000182571,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"146","NLRP1",-0.434815557,7.09673e-06,0.000182571,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"147","LUC7L",0.479576294,7.45644e-06,0.00019052,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"148","CYFIP2",-0.505611803,7.54341e-06,0.00019144,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"149","AC245595.1",0.439729888,7.69223e-06,0.000193906,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"150","APBB1",-0.44909347,7.89919e-06,0.000197796,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"152","IDH3A",-0.434503668,8.55767e-06,0.000210921,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"153","RUNDC3A",-0.449113152,8.59183e-06,0.000210921,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"154","CHD5",-0.464974021,8.66865e-06,0.000211425,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"155","CAMSAP2",-0.54625303,9.38838e-06,0.000226531,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"156","APBA2",-0.43547081,9.40863e-06,0.000226531,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"157","CBX5",-0.452121082,9.64589e-06,0.000230764,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"158","PAFAH1B2",-0.43791623,1.01546e-05,0.000241397,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"159","RFTN1",0.435651766,1.06175e-05,0.000250813,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"160","SLC24A2",-0.50579615,1.17265e-05,0.00027528,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"161","AC027031.2",0.473001142,1.2198e-05,0.000284568,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"162","THSD7A",-0.481430059,1.34086e-05,0.000310881,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"163","SPIN1",-0.470316714,1.3684e-05,0.00031532,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"164","SCAMP5",-0.446119969,1.41551e-05,0.000323612,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"165","CXXC5",-0.418886808,1.42162e-05,0.000323612,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"166","PCP4",-0.490743013,1.44412e-05,0.000326754,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"167","NCDN",-0.561736132,1.60497e-05,0.000360974,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"168","PPP3R1",-0.549961013,1.62795e-05,0.000363963,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"169","ABR",-0.423581278,1.67023e-05,0.000371207,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"170","SNAP91",-0.470598244,1.72736e-05,0.000381007,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"171","KCNQ3",-0.43709345,1.73462e-05,0.000381007,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"172","RLIM",-0.422900095,1.80968e-05,0.000395184,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"173","AMPH",-0.425812753,1.87019e-05,0.000406036,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"174","SLC38A2",-0.448239227,1.89211e-05,0.000408436,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"175","RSRP1",0.532000677,1.9119e-05,0.000410349,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"176","IPCEF1",-0.444843055,1.92627e-05,0.000411084,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"177","NCKAP1",-0.559597868,1.93987e-05,0.000411647,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"178","GRAMD1B",-0.41734791,1.99028e-05,0.00041997,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"179","HSPA4L",-0.442213862,2.07861e-05,0.00043616,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
"180","HMGN1",0.450941508,2.18828e-05,0.000456621,"L2_3_IT","female","Postmortem","CORT","LimmaVoomCC"
