"SYMBOL","FC","logFC","P.Value","adj.P.Val","AveExpr","Sex","DEG_method","Cell_Type","Metadata","Time_point","Tissue"
"SYN1",-1.427770618,-0.513764218,9.63288e-07,3.73001e-05,8.198641064,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"TBRG1",1.430143356,0.516159768,1.02479e-06,3.92768e-05,8.31904559,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"SULT4A1",-1.415620149,-0.501434201,1.04323e-06,3.94761e-05,8.206988576,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CACNG3",1.398019333,0.483384312,1.05102e-06,3.94761e-05,8.102901439,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"FAT3",-1.491309824,-0.576580013,1.07445e-06,3.99567e-05,8.469200994,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"DLG2",1.566676724,0.647707518,1.11794e-06,4.11666e-05,9.305976969,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CAMKK1",-1.393844035,-0.479069139,1.19654e-06,4.36331e-05,7.995415861,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"KLC2",-1.385739969,-0.470656565,1.35315e-06,4.88697e-05,7.791969474,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PPP2CA",-1.401885107,-0.487368116,1.51463e-06,5.41804e-05,8.190732409,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MT-CO3",1.536868773,0.619993984,1.70982e-06,6.02687e-05,9.429212692,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"PPP1R9A",-1.466314011,-0.55219409,1.71692e-06,6.02687e-05,8.37027916,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"MAST3",-1.401916053,-0.487399963,1.76945e-06,6.15374e-05,8.268189716,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"CAMK2G",-1.388341094,-0.473362059,1.80518e-06,6.22044e-05,7.925994037,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
"ZNF493",1.430077973,0.516093811,1.86068e-06,6.35338e-05,8.318783041,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT"
