"","SYMBOL","FC_mouse","logFC_mouse","P.Value_mouse","adj.P.Val_mouse","AveExpr_mouse","Sex_mouse","DEG_method_mouse","Cell_Type_mouse","Metadata_mouse","Time_point_mouse","Tissue_mouse","broad_class_mouse","FC_human","logFC_human","P.Value_human","adj.P.Val_human","AveExpr_human","Sex_human","DEG_method_human","Cell_Type_human","Metadata_human","Time_point_human","Tissue_human","broad_class_human"
"50","ATP6V0D1",-1.5787410927011,-0.658774594312307,0.00243553990677867,0.0295526124128419,7.82533730903419,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.263650026,-0.337596958,0.000439646,0.004612604,7.921795881,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"51","ATP6V1C1",-1.66563634180022,-0.7360734516336,0.00104649660652844,0.0261736154036996,7.91959460211698,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.260036858,-0.333465936,0.004769074,0.026226414,8.508656108,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"52","ATRNL1",-1.49982792117594,-0.584796986383066,0.00723382942603483,0.0398782702247524,7.82549993470696,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.305442364,-0.384538763,0.004127883,0.023491408,8.872766812,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"53","BRSK2",-1.47977394719175,-0.565376804115106,0.00821960314207665,0.0410257242477019,7.80602875986718,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.216490878,-0.282725502,0.004578249,0.025470301,7.880129479,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"54","BSG",1.3773841867419,0.461931019168646,0.00163099539529684,0.0347945684329991,8.52601790052244,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.287639236,-0.364728444,0.000376569,0.004029614,8.24755646,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"55","CACNG3",-1.61022191341817,-0.687259527672716,0.000376180530142802,0.0484387753225055,8.48213667527838,"females","LimmaVoomCC","L6","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",1.398019333,0.483384312,1.05102e-06,3.94761e-05,8.102901439,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"56","CADM2",1.58530318437991,0.664758777760735,3.1229093197138e-05,0.00255691182077443,9.35780892288323,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.452626827,-0.538664129,2.78188e-06,0.00034096,10.23020167,"female","LimmaVoomCC","Vip","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"57","CALM1",1.42754995463657,0.513541231084068,0.00135348712344015,0.0312098207287377,9.1458499131484,"females","LimmaVoomCC","Pvalb","M_MUT_and_WT_F_P30_CORT","P30","CORT","GABAergic",-1.27827894,-0.354202688,0.001293763,0.023608785,11.0355475,"female","LimmaVoomCC","Vip","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","GABAergic"
"58","CAMK2A",1.69345591513449,0.759970430384068,0.00740828051112528,0.0400638948214512,10.9946935577693,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.491486212,-0.57675064,0.000122239,0.00175912,9.436518684,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
"59","CCDC50",-1.53779182357001,-0.620860213682715,0.00529808766849012,0.0352721174276881,7.88846315636247,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",1.346622107,0.429345054,0.000128509,0.005461646,9.715277962,"female","LimmaVoomCC","Non-neuronal","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Non-neuronal"
"60","CCND2",-1.74537323968612,-0.803535582833434,0.000413211231568747,0.0253700058059678,7.79144682916289,"females","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_F_P30_CORT","P30","CORT","Glutamatergic",-1.286958814,-0.363965884,0.000498085,0.005029047,8.150826884,"female","LimmaVoomCC","L2_3_IT","M_MUT_and_WT_H_PM_CORT","Postmortem","CORT","Glutamatergic"
