"","logFC","logCPM","LR","PValue","FDR","Sex","Time_point","Cell_type","SYMBOL"
"22019",0.599453232770133,9.60538691878233,96.5250678653783,8.81210211762139e-23,6.18924286589794e-20,"Male","P60","L2_3_IT","Gabbr2"
"22020",0.538468538907063,9.73879802397091,94.5132545228857,2.43456752435527e-22,1.65097258393003e-19,"Male","P60","L2_3_IT","Itm2c"
"22021",0.576895485606378,9.63185151086906,93.2091318819262,4.7050524981785e-22,3.08431874763928e-19,"Male","P60","L2_3_IT","Dusp3"
"22022",0.458829560222724,9.97726953666813,90.4795746193677,1.86896337501366e-21,1.18564624945221e-18,"Male","P60","L2_3_IT","Ywhag"
"22023",0.715589189455624,9.22520634640878,87.8104459326704,7.20374902967962e-21,4.42715401305248e-18,"Male","P60","L2_3_IT","Trib1"
"22024",-0.683372965519651,9.22156502033054,87.4748867982472,8.53567239872972e-21,5.0867434361642e-18,"Male","P60","L2_3_IT","Prox1"
"22025",0.383680698291316,10.3207934762216,85.3630780170956,2.4831421589522e-20,1.43627863817512e-17,"Male","P60","L2_3_IT","Atp1a3"
"22026",0.732403897013904,9.30994180961956,85.1481087888787,2.76832412983626e-20,1.55548178106743e-17,"Male","P60","L2_3_IT","Dusp6"
"22027",0.382100316393064,10.2739935599518,81.5521941612506,1.70693537491953e-19,9.24359933874479e-17,"Male","P60","L2_3_IT","Hsp90ab1"
"22028",0.715057693420449,9.31290239219182,81.5152896570635,1.73910899793327e-19,9.24359933874479e-17,"Male","P60","L2_3_IT","Btg2"
"22029",0.676866588922843,9.37010402886761,80.7026493667931,2.62370153441151e-19,1.35783458883518e-16,"Male","P60","L2_3_IT","Nr4a1"
"22030",0.497256157296232,9.73951260929458,80.4554661699567,2.97330940794044e-19,1.47420897808598e-16,"Male","P60","L2_3_IT","Ndfip2"
"22031",0.293251923003214,11.1811137546844,80.4388001873558,2.99849278569304e-19,1.47420897808598e-16,"Male","P60","L2_3_IT","Atp2b1"
"22032",0.625440488742494,9.44990303788363,80.0995484540749,3.56013760081787e-19,1.70765039165084e-16,"Male","P60","L2_3_IT","Nectin3"
"22033",0.404149143423805,10.1089372449993,79.7228113176893,4.3079811412734e-19,2.01716088391149e-16,"Male","P60","L2_3_IT","Gapdh"
"22034",-0.714171563548141,9.2424952066381,79.099691925938,5.90535376512854e-19,2.70080667779111e-16,"Male","P60","L2_3_IT","Sema5a"
"22035",0.578179611365472,9.5250385668789,78.8557075983044,6.68161226772638e-19,2.98637697402516e-16,"Male","P60","L2_3_IT","Cpne9"
"22036",0.691147795609231,9.32350147657811,77.4468882293188,1.36339837538727e-18,5.95835387785912e-16,"Male","P60","L2_3_IT","Per1"
"22037",0.420894760996816,9.98534243290688,76.4807495032651,2.22370114102534e-18,9.50680579117487e-16,"Male","P60","L2_3_IT","Syt11"
"22038",0.443309856053627,9.87315964090882,75.028127043297,4.64055664073652e-18,1.94172738078137e-15,"Male","P60","L2_3_IT","Chgb"
"22039",0.419137730820927,9.96913017678222,74.9651496870006,4.79096740624503e-18,1.96289927106697e-15,"Male","P60","L2_3_IT","Chrm3"
"22040",-0.639736812773345,9.40207292926353,70.646996310044,4.2721766785064e-17,1.71462503182667e-14,"Male","P60","L2_3_IT","Sgsm1"
"22041",0.618478445910299,9.39156292636643,70.2584347854981,5.20223629409227e-17,2.04614357919237e-14,"Male","P60","L2_3_IT","Vgf"
"22042",0.533705513116037,9.55100752267357,70.0861077030108,5.67713828382191e-17,2.1891490488165e-14,"Male","P60","L2_3_IT","Pdp1"
"22043",0.622698655836976,9.38439535272989,70.0336444071008,5.83015362753013e-17,2.2049192545963e-14,"Male","P60","L2_3_IT","Hmgcr"
"22044",0.347909595257546,10.3113955752913,69.7456681232088,6.74658589939889e-17,2.50336525089771e-14,"Male","P60","L2_3_IT","Olfm1"
"22045",0.353873891652099,10.2473548119526,68.6889384718829,1.15285761446314e-16,4.19853663815409e-14,"Male","P60","L2_3_IT","Ntrk2"
"22046",0.469958787050429,9.70043351517661,68.1943720750128,1.48147972857536e-16,5.29723278948418e-14,"Male","P60","L2_3_IT","Mapre2"
"22047",0.280975218378126,10.9922322176301,67.9036596293363,1.71682228657144e-16,6.02911197994891e-14,"Male","P60","L2_3_IT","Grin2b"
"22048",0.494320434785073,9.62224618903849,67.5025413529934,2.10415694500383e-16,7.25971061060444e-14,"Male","P60","L2_3_IT","C78859"
"22049",-0.402183243364829,9.99777578208444,67.1042165653089,2.57527011493838e-16,8.73194173799624e-14,"Male","P60","L2_3_IT","Mical2"
"22050",0.574839557445737,9.43819495201973,66.1037470609608,4.27801725305667e-16,1.42595741184089e-13,"Male","P60","L2_3_IT","Mettl7a1"
"22051",0.493222516002825,9.19759394791947,64.6232508454164,9.06789949943545e-16,2.97215519259829e-13,"Male","P60","L2_3_IT","Ttr"
"22052",0.57340499284081,9.42478559932137,64.136893318208,1.16067580885163e-15,3.74194269784853e-13,"Male","P60","L2_3_IT","Slc25a25"
"22053",0.3607490161467,10.1117496888047,63.5688105929958,1.54861760823439e-15,4.91211514250607e-13,"Male","P60","L2_3_IT","Ckb"
"22054",0.464743038643536,9.66508946295274,63.2271939438015,1.84187900191498e-15,5.74958610343808e-13,"Male","P60","L2_3_IT","Syt4"
"22055",0.517803681503688,9.52430117566625,63.0520124279096,2.0131958674944e-15,6.18617342658514e-13,"Male","P60","L2_3_IT","Grasp"
"22056",0.415116125101753,9.82421471000599,62.340198346179,2.88966076138372e-15,8.74277977436496e-13,"Male","P60","L2_3_IT","Fam131a"
"22057",0.531723843223932,9.48672479036721,62.0934667652741,3.27536264215838e-15,9.75958813949799e-13,"Male","P60","L2_3_IT","Egr1"
"22058",-0.583420320644355,9.42599113182092,62.0020989914597,3.43091411517194e-15,1.00705010431301e-12,"Male","P60","L2_3_IT","Ddit4l"
"22059",0.410087520003039,9.83368215786874,61.4810188183797,4.47031963612236e-15,1.29284273476445e-12,"Male","P60","L2_3_IT","Tspan7"
"22060",0.425574414017496,9.77164239204248,61.2941247150188,4.91544965020802e-15,1.40097438871001e-12,"Male","P60","L2_3_IT","Prnp"
"22061",0.338644758048587,10.211385285061,61.150413312942,5.28766676219777e-15,1.48553220779116e-12,"Male","P60","L2_3_IT","Cyfip2"
"22062",0.387276849456827,9.92176008932895,60.7341861660666,6.53257860686645e-15,1.80943226595262e-12,"Male","P60","L2_3_IT","Scn1a"
"22063",-0.425414533274346,9.79916799445386,59.5862903633069,1.17047720264758e-14,3.19702842600934e-12,"Male","P60","L2_3_IT","H3f3b"
"22064",0.623932106636529,9.27360830659086,59.4906161847832,1.22878652707945e-14,3.31031723856774e-12,"Male","P60","L2_3_IT","Sox8"
"22065",0.580493959440901,9.35929413416179,57.9359583273761,2.70791616906744e-14,7.19647018660543e-12,"Male","P60","L2_3_IT","Prag1"
"22066",0.465351491574312,9.60274978471795,57.7752937435084,2.93837256421389e-14,7.70480464637739e-12,"Male","P60","L2_3_IT","Zfp365"
"22067",-0.591721951539188,9.37245948314274,57.4045582787262,3.54784090517815e-14,9.1805051633202e-12,"Male","P60","L2_3_IT","Egfem1"
"22068",0.376193682885053,9.91749637078781,57.091985647302,4.15897042180363e-14,1.06221184824922e-11,"Male","P60","L2_3_IT","Map1a"
"22069",0.559622939895747,9.3857372616788,56.718184687938,5.02962806223179e-14,1.26811109579295e-11,"Male","P60","L2_3_IT","Egr3"
"22070",-0.613351482513285,9.27986421376237,54.6040820295593,1.47429088449566e-13,3.67005120689768e-11,"Male","P60","L2_3_IT","Nrp1"
"22071",0.365193988006174,9.91798733584688,53.6339374710556,2.41550524057684e-13,5.93791575764801e-11,"Male","P60","L2_3_IT","Actb"
"22072",0.563070265213276,9.34944981924048,53.479426132973,2.61315215722463e-13,6.33760228290671e-11,"Male","P60","L2_3_IT","Rheb"
"22073",0.339914394402055,10.0537473850372,53.4564911770954,2.64383841598531e-13,6.33760228290671e-11,"Male","P60","L2_3_IT","Dnm1"
"22074",0.316999546828508,10.211040070272,53.433638174211,2.67477366765614e-13,6.33760228290671e-11,"Male","P60","L2_3_IT","Akap6"
"22075",0.59029826247319,9.26685266689045,53.0259283497171,3.29174372721789e-13,7.70659906422226e-11,"Male","P60","L2_3_IT","Col25a1"
"22076",0.530975980397099,9.40429103119804,52.9587171952207,3.40632918138824e-13,7.88104349190367e-11,"Male","P60","L2_3_IT","Rbm24"
"22077",0.41458005753467,9.70148707078079,52.9139585228863,3.48484190034203e-13,7.96894195489842e-11,"Male","P60","L2_3_IT","Shisa4"
"22078",0.269702954543913,10.6584493619943,52.6666914160141,3.95237586290559e-13,8.93418663447141e-11,"Male","P60","L2_3_IT","Calm1"
"22079",0.327381966815523,10.109020623715,52.349235830925,4.6457931902866e-13,1.03822919182019e-10,"Male","P60","L2_3_IT","AY036118"
"22080",0.364096295277363,9.89795316019648,52.1445331558834,5.15622012258749e-13,1.13935084191916e-10,"Male","P60","L2_3_IT","Slc39a10"
"22081",0.571287420292565,9.31693558829645,51.9860975031822,5.58949868160688e-13,1.21011608244584e-10,"Male","P60","L2_3_IT","Robo1"
"22082",0.38982007582012,9.77851961746854,51.982573035541,5.59954050150367e-13,1.21011608244584e-10,"Male","P60","L2_3_IT","Chd4"
"22083",0.385527578673967,9.79517913063468,51.8901992928427,5.86926470085594e-13,1.2546191261634e-10,"Male","P60","L2_3_IT","Smarca2"
"22084",0.373604997118326,9.8452453109157,51.8050520539591,6.12938930580982e-13,1.29613516223716e-10,"Male","P60","L2_3_IT","Dgkz"
"22085",-0.420193233221757,9.70708936854692,51.7642012800734,6.25825252435588e-13,1.30930632068067e-10,"Male","P60","L2_3_IT","Tmem108"
"22086",0.567746621255026,9.23664282664845,51.2810939579467,8.00428088939863e-13,1.65697039969383e-10,"Male","P60","L2_3_IT","mt-Nd1"
"22087",0.398190542915366,9.73547579630199,51.150782967748,8.55365566901409e-13,1.75225200402949e-10,"Male","P60","L2_3_IT","Ptn"
"22088",0.446836581306805,9.57627218329039,51.0548855826723,8.98190643421581e-13,1.80432081356744e-10,"Male","P60","L2_3_IT","Synpo"
"22089",0.529952527360734,9.21597566668658,51.0528278345583,8.9913271498835e-13,1.80432081356744e-10,"Male","P60","L2_3_IT","Ier2"
"22090",0.262658698615062,10.6908093653062,50.845140121487,9.99484431950794e-13,1.98544048876205e-10,"Male","P60","L2_3_IT","Syne1"
"22091",0.345939101995228,9.96707623813778,50.7855440846479,1.03029753253458e-12,2.0261831274825e-10,"Male","P60","L2_3_IT","Pclo"
"22092",0.518390402009428,9.21297567730201,50.6420130392461,1.10846621884506e-12,2.15832640196108e-10,"Male","P60","L2_3_IT","mt-Nd2"
"22093",0.356126806595145,9.89597413192068,49.7668831561359,1.73141872269321e-12,3.33824319612595e-10,"Male","P60","L2_3_IT","Gda"
"22094",0.449798070843752,9.5507251587099,49.6632658693425,1.82531698458277e-12,3.48511493386454e-10,"Male","P60","L2_3_IT","Spred1"
"22095",0.563966404820389,9.24444690941144,49.3983950847673,2.08916490376704e-12,3.95053048052717e-10,"Male","P60","L2_3_IT","Megf11"
"22096",0.367005658912907,9.83401220314945,49.3040886946915,2.19205132080535e-12,4.10560774047219e-10,"Male","P60","L2_3_IT","Clstn1"
"22097",-0.311617616449464,9.18960214968886,49.1078121696012,2.42273390330905e-12,4.49485707004489e-10,"Male","P60","L2_3_IT","C1ql2"
"22098",0.353392834114363,9.90163150420443,49.0302494928087,2.52045375782866e-12,4.63245267303349e-10,"Male","P60","L2_3_IT","Itm2b"
"22099",0.454203005860643,9.53051919391736,48.9367199421208,2.64355055546121e-12,4.81370974293519e-10,"Male","P60","L2_3_IT","Ldhb"
"22100",0.535762476537716,9.34997160920843,48.6027027497653,3.13436966350523e-12,5.65509300940311e-10,"Male","P60","L2_3_IT","Ccnd2"
"22101",0.361665655810714,9.84643204044334,48.3966560454246,3.48161382020295e-12,6.22449248982829e-10,"Male","P60","L2_3_IT","Hsp90aa1"
"22102",0.502359889224241,9.41396511911552,48.2161958164261,3.81722437345037e-12,6.76302112867341e-10,"Male","P60","L2_3_IT","4930447C04Rik"
"22103",0.399227546585039,9.68234058818117,47.9686336950681,4.33092477155947e-12,7.60463987120434e-10,"Male","P60","L2_3_IT","Tspan13"
"22104",0.406165496507683,9.66036088315079,47.8495003218777,4.60224357886507e-12,8.0095329399965e-10,"Male","P60","L2_3_IT","Cpe"
"22105",0.342726655495555,9.92464202674598,47.7647855377381,4.80546410008496e-12,8.28984710458516e-10,"Male","P60","L2_3_IT","Dync1h1"
"22106",0.34625889786372,9.88883724302747,46.6759483777469,8.37506288081368e-12,1.43220857925289e-09,"Male","P60","L2_3_IT","Sbno1"
"22107",0.296565305555345,10.2013493485931,46.239147963372,1.04664656552488e-11,1.77442684117347e-09,"Male","P60","L2_3_IT","Sptbn1"
"22108",0.36908933272736,9.77026287399194,46.0812943805622,1.13446458967777e-11,1.90687013851309e-09,"Male","P60","L2_3_IT","Ppia"
"22109",0.386985583108994,9.69693610131232,45.9798205196066,1.19477346855092e-11,1.99122161292563e-09,"Male","P60","L2_3_IT","2900097C17Rik"
"22110",0.481350877052071,9.43237165352715,45.8230465809402,1.29431798583836e-11,2.13899642936952e-09,"Male","P60","L2_3_IT","Syngr3"
"22111",0.540222837088848,9.24058885095438,45.7883384041795,1.31745504145857e-11,2.1453703016709e-09,"Male","P60","L2_3_IT","Midn"
"22112",0.413375478344292,9.60577341001685,45.7845685005627,1.31999291417766e-11,2.1453703016709e-09,"Male","P60","L2_3_IT","Nrxn2"
"22113",0.534701388338989,9.31761570274876,45.7345156268298,1.35415558269365e-11,2.17895738353544e-09,"Male","P60","L2_3_IT","Pcsk1"
"22114",0.400820505088899,9.64466130964954,45.72202509716,1.36281784895179e-11,2.17895738353544e-09,"Male","P60","L2_3_IT","Cdkl5"
"22115",0.348449351892418,9.85480085216465,45.4299770205139,1.58194525234499e-11,2.50891413972714e-09,"Male","P60","L2_3_IT","Kcnk9"
"22116",0.362787392477359,9.77483901842519,44.766695044294,2.21966261255815e-11,3.49215079508548e-09,"Male","P60","L2_3_IT","Sphkap"
"22117",0.468799866682812,9.44296789273403,44.2421564932051,2.90164689682479e-11,4.52887205340923e-09,"Male","P60","L2_3_IT","Selenok"
"22118",-0.495949460740465,9.41688792634898,44.0995485518279,3.12092912507386e-11,4.83277103729941e-09,"Male","P60","L2_3_IT","Tenm3"
"22119",0.240202383683239,10.7606273124485,44.0751203142831,3.160121815094e-11,4.85523090747177e-09,"Male","P60","L2_3_IT","Ahi1"
"22120",0.344365866103106,9.83961685324786,43.5774025645555,4.07517674694889e-11,6.20081809258544e-09,"Male","P60","L2_3_IT","Pak7"
"22121",0.535904066522861,9.26356882191402,43.566002938122,4.09898480644822e-11,6.20081809258544e-09,"Male","P60","L2_3_IT","Pard6a"
"22122",0.478612695314664,9.40456123084487,43.0999932786262,5.20124340671532e-11,7.80821777377584e-09,"Male","P60","L2_3_IT","Akap13"
"22123",0.365549282510715,9.72885266716425,42.7983761820069,6.06825098694444e-11,9.04077453857949e-09,"Male","P60","L2_3_IT","Frrs1l"
"22124",0.242042605615983,10.6747064660075,42.7405192341221,6.25040849392998e-11,9.2421453715509e-09,"Male","P60","L2_3_IT","Dclk1"
"22125",0.397601134832075,9.61095093837534,42.57838985832,6.79054801021108e-11,9.96588934095605e-09,"Male","P60","L2_3_IT","Mprip"
