"gene_name","module","color","kME_green","kME_turquoise","kME_blue","kME_grey","kME_magenta","kME_brown","kME_yellow","kME_black","kME_pink","kME_red"
"Ndufb5","yellow","yellow",0.077876997142915,0.151128514895306,0.0751624420360454,0.0740553506647789,0.0610870800460639,0.0213062998965126,0.195450263406957,0.0748499576825298,0.0640031307617937,0.130346884967933
"Usp13","turquoise","turquoise",0.0797149804937599,0.147560507213857,0.0601324214519664,0.109816155238038,0.0417973387223303,0.0789524622402258,0.0735703060123064,0.106602726652839,0.0766929863728157,0.107787157373196
"Pex5l","blue","blue",-0.0827225258149288,0.182917485782435,0.155996326461804,0.173556985478789,0.144131899450873,0.177176187344847,-0.0422069183792391,0.22513068399472,0.0560355092518695,-0.00408573848797156
"Ttc14","turquoise","turquoise",0.141877753168464,0.385641965275292,0.109663715712891,0.337677463644075,0.180313077249176,0.32622281228776,-0.0130790586119784,0.350083662878594,0.194812766733626,0.187667991660747
"Ccdc39","grey","grey",0.070164375326926,0.135322234948108,0.0486112429185477,0.168092307835778,0.132733542566903,0.157072508503106,0.0457323524190639,0.159307365439125,0.117213889797286,0.119895314995206
"Fxr1","grey","grey",0.0734917557030589,0.154161638234031,0.0655096482684694,0.14472426121831,0.085881263233229,0.118769994236811,0.091267774637241,0.141269861419228,0.116240163035066,0.124755244021476
"Dnajc19","turquoise","turquoise",0.0354598283500127,0.158186174124593,0.0549964842750899,0.0445146126504394,0.0279748828963491,0.0187568883602266,0.0786293382000471,0.0900296095520536,0.0479094831421243,0.0609524368904381
"Atp11b","grey","grey",0.167296286079697,0.30423518526931,0.12214660909723,0.280352501152616,0.175894039016922,0.217602868010734,0.0799774441598287,0.253818573957465,0.164023446638792,0.202677531904892
"Dcun1d1","grey","grey",0.0439923404718246,0.094738259960849,0.0553554179594767,0.0971877524979859,0.0585418750947334,0.0788622593919071,0.043185154205468,0.0876284626634792,0.060593685724507,0.0617486133413206
"Mccc1","turquoise","turquoise",0.0827400892187263,0.14245348469223,0.0667237506010019,0.113136272328389,0.065684177095321,0.076103093574153,0.0269976096729005,0.10445591434173,0.0823320744594213,0.0881988034399721
"Acad9","turquoise","turquoise",0.0727222005903444,0.123054148902174,0.0557124008346825,0.0953363051489513,0.0661680252221943,0.0690549550684151,0.0442040693314451,0.0959707433793968,0.0699570787956799,0.0805576562043869
"D3Ertd254e","grey","grey",0.050518960317914,0.0928616575480947,0.0604497172415689,0.11517354950423,0.0509894126495769,0.102400891614763,0.0624467362389073,0.0975636320647762,0.0713202757817468,0.0796934325664984
"Exosc9","grey","grey",0.0410706867436079,0.101439263319407,0.0521193272845299,0.115714743390114,0.0614468614425102,0.112695262167712,0.0873692822302018,0.112419458987517,0.0861050267693121,0.0842170056312471
"Bbs7","grey","grey",0.0782842052599761,0.111147959559848,0.046012584330299,0.102145328655728,0.0682847607765237,0.0736825360426023,0.0632154070093048,0.0893612527091784,0.087408499205317,0.102471993067995
"Trpc3","grey","grey",0.114743034839683,0.117261263023709,0.0552411013693863,0.12171370152531,0.094778279322747,0.0774067954918448,0.00734287612742299,0.082397414493405,0.0478424973959636,0.0690789213472815
"4932438A13Rik","grey","grey",0.165494757796949,0.272589785049583,0.146181638632425,0.294872616015632,0.129313915271507,0.239855322436869,0.130441048713535,0.217538184120324,0.144385352012482,0.233446359938433
"Spata5","turquoise","turquoise",0.0341198655006648,0.124248967652228,0.0423890121055391,0.0690207936555767,0.0393370573806373,0.0522588235548868,0.0404544441471719,0.0916675387837845,0.0403818209676054,0.0487800204346785
"Fat4","pink","pink",0.0579341058532931,0.0271273951351514,0.0208540356624712,0.0551438346678574,0.001617231686216,0.0721198824476637,0.0315603007629818,0.0515880427265631,0.16088408160519,0.0629995213475803
"Hspa4l","turquoise","turquoise",0.140232631535621,0.241920244051316,0.121122759745435,0.20196396023854,0.116259273018619,0.135465521560601,0.154435928682111,0.176763390756036,0.121806380567063,0.181800610889867
"Mfsd8","grey","grey",0.0237262666651314,0.0794579796011198,0.0501765625526589,0.0921134366948103,0.0904435131184231,0.083677657386649,0.0205427835530785,0.0895441353115352,0.0601929197659471,0.0565510297151962
"Abhd18","grey","grey",0.152797581868675,0.203570388144945,0.0816469958585149,0.190645506931787,0.142257832453656,0.132409083305693,0.11051308083345,0.155886330188671,0.136135030273722,0.192174182214329
"Larp1b","grey","grey",0.0664728981012646,0.115997887699222,0.0623432333695155,0.138251087816497,0.0972128742022635,0.122860766264776,0.0158975340224382,0.122763543790079,0.0712629975065161,0.0694129628990447
"Pgrmc2","turquoise","turquoise",0.0381797176146006,0.16352202263019,0.0787755921636421,0.0884508904206795,0.0513092569450095,0.0747762870374964,0.130383010432121,0.125844558188125,0.0674540531056561,0.087843873331611
