"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Time_point","SYMBOL"
"Sgce2",0.0242684348664053,7.6753319992688,0.238119343094695,0.812022830899834,0.959175623285646,-5.83377130221448,"P150","Sgce2"
"2410018L13Rik1",-0.024257441932618,7.48225970060392,-0.473037779649264,0.63668201362894,0.902367641766411,-5.91362780011568,"P150","2410018L13Rik1"
"Lrrtm22",-0.0242422958734227,7.6561187084329,-0.31456599378073,0.753406360466345,0.939497161731861,-5.83266510822173,"P150","Lrrtm22"
"Zfpm22",-0.0242106581508921,7.83379513115133,-0.20363406174572,0.838838462633174,0.965537209380587,-5.69546859530703,"P150","Zfpm22"
"Rrp7a2",0.0242055432346344,7.61307148282419,0.306440862963034,0.759575380633201,0.940904218475735,-5.87101161979281,"P150","Rrp7a2"
"Timm17a2",-0.0241980300852127,7.87901182195806,-0.207486926359799,0.835832503464318,0.964837243430217,-5.65160320718079,"P150","Timm17a2"
"Syn22",0.0241809809032585,9.36545317242261,0.162027264427391,0.871441594640168,0.973806875190085,-5.28194038785367,"P150","Syn22"
"Onecut21",0.0241701660118778,7.46178492407086,0.492792089471963,0.6226790585089,0.898999625138114,-5.92427593101203,"P150","Onecut21"
"Lnpep2",0.0241636445890148,8.43583506969025,0.157165443859215,0.875266843005447,0.973806875190085,-5.38002738830064,"P150","Lnpep2"
"Kdm4b2",-0.0241469888434169,7.73509880102855,-0.210715913212385,0.833315143146602,0.963412380275263,-5.78045711682005,"P150","Kdm4b2"
"Esrrg2",-0.0241349947240446,7.596658905559,-0.27820824307955,0.781128737001311,0.947690420897059,-5.89510411145762,"P150","Esrrg2"
"Grm72",-0.0241198862681991,8.47774749018495,-0.134825557483418,0.892880112465298,0.976899801261024,-5.36593924095978,"P150","Grm72"
"Chst152",-0.0241187674799068,7.58516837375286,-0.350154483259389,0.726576910852756,0.931149611510829,-5.88077823944798,"P150","Chst152"
"Znhit62",0.0240768139577776,7.76588923725839,0.22244767363376,0.824183572946881,0.962650616186309,-5.75126453155376,"P150","Znhit62"
"C1qc",0.0240396107213243,7.46207934997311,0.490276005447264,0.624455119319312,0.899755262941692,-5.92524189146355,"P150","C1qc"
"Rnf442",0.0240109558752177,7.70454208313947,0.271399465418949,0.786352849799969,0.949617811056283,-5.79803500839653,"P150","Rnf442"
"Rab5a2",0.0239759800156953,8.06028282412704,0.183841996151864,0.854316420930049,0.971390370194388,-5.53431298980141,"P150","Rab5a2"
"Ddr12",-0.0239420585550389,7.553009603352,-0.294291223643719,0.768828718607758,0.943173223061304,-5.9208612800853,"P150","Ddr12"
