"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bsn",3.08692642350227e-09,-0.164423219036399,1,1,5.33513493773897e-05
"Gabrb1",3.23284982394661e-09,-0.163501856680665,1,1,5.58733435072693e-05
"Dmxl2",3.46458471870908e-09,-0.162350608394773,1,1,5.9878417693449e-05
"Pcsk2",3.70452515587702e-09,-0.153645639254023,1,1,6.40253082690225e-05
"BC005561",3.74675467175656e-09,-0.162837736056348,1,1,6.47551609919686e-05
"Gm26917",3.80488660400623e-09,-0.248190876396098,1,1,6.57598551770396e-05
"Mprip",4.11877475676728e-09,-0.169123016862507,1,1,7.11847841212089e-05
"Ndrg4",4.35564548550224e-09,-0.156849105335286,1,1,7.52786209259352e-05
"Grm5",4.56807797458741e-09,-0.154197188078614,1,1,7.89500916347941e-05
"Ptprk",4.66732731209015e-09,-0.161806091666236,1,1,8.0665417934854e-05
"Tspoap1",5.23489990458669e-09,-0.164397119947381,1,1,9.04747750509718e-05
"Oxr1",6.56626228348598e-09,-0.161840384977668,1,1,0.000113484711045488
"Ywhaz",6.94573955616082e-09,-0.157680063093882,1,1,0.000120043216749127
"Tia1",7.40204533832251e-09,-0.14964966885571,1,1,0.000127929549582228
"Ctxn1",8.33622894499119e-09,-0.157876831067313,1,1,0.000144075044856283
"Synpo",8.49466356789422e-09,-0.166755216891863,1,1,0.000146813270443916
"Chka",8.88952639686665e-09,-0.157531583188147,1,1,0.000153637684717046
"Aak1",9.94792047348567e-09,-0.15182957234434,1,1,0.000171929909543253
"Spred1",1.163017531101e-08,-0.165568760569722,1,1,0.000201004319900185
"Egr1",1.27379395244347e-08,-0.166602148821879,1,1,0.000220149808800805
"Mest",1.30812283194021e-08,-0.163850948088439,1,1,0.000226082869044226
"Ano3",1.32577856961891e-08,-0.160993748406178,1,1,0.000229134310187237
"Madd",1.40631369874021e-08,-0.161405642008061,1,1,0.00024305319655327
"Pi4ka",1.40636024099797e-08,-0.160113376473464,1,1,0.000243061240451678
"Camk2b",1.53646854763908e-08,-0.151328461480297,1,1,0.000265547859088462
"D430041D05Rik",1.5768356358033e-08,-0.156940934041174,1,1,0.000272524502935885
"Tnik",1.63097276004957e-08,-0.149501146897798,1,1,0.000281881022119367
"Cadm3",1.63712723470509e-08,-0.158936921532916,1,1,0.00028294469997408
"Slc4a3",1.63889573298233e-08,-0.161867180101911,1,1,0.000283250349531337
"Tmem151a",1.8299757145138e-08,-0.161891812922579,1,1,0.000316274702739421
"Phf24",2.51722337826325e-08,-0.157109800433564,1,1,0.000435051716465237
"Mical3",2.73914074448319e-08,-0.156471075174065,1,1,0.00047340569486903
"Atp6v0b",2.84190401797298e-08,-0.139915447668998,1,1,0.00049116627142627
"Luc7l2",3.69808095690569e-08,-0.141965592239908,1,1,0.00063913933178201
"Nav2",3.70789189022244e-08,-0.1489940261787,1,1,0.000640834955387145
"Tmem30a",4.04693589328028e-08,-0.155474260252644,1,1,0.00069943193043563
"Prkca",4.39565963575306e-08,-0.151073712586203,1,1,0.000759701854847202
"Pkm",4.58011391984239e-08,-0.156815537864382,1,1,0.000791581088766361
"Etl4",4.96213667222707e-08,-0.154294399952707,1,1,0.000857606081061004
"Tnr",5.28010655265579e-08,-0.153914020231189,1,1,0.0009125608154955
"Aldoa",5.84769783472124e-08,-0.151388133795431,1,1,0.00101065761677487
"Cacna1e",5.86590296015197e-08,-0.148945499098628,1,1,0.00101380400860307
"Kpna1",5.93664780682476e-08,-0.155555945973736,1,1,0.00102603084045352
"Ldhb",6.37952101577736e-08,-0.157632732254856,1,1,0.0011025726171568
"Vti1b",6.45916168643879e-08,-0.153571463174029,1,1,0.00111633691426722
"Srpk2",6.48343831660757e-08,-0.147981854526941,1,1,0.00112053264425929
"Atp2c1",7.263957629055e-08,-0.14244444995914,1,1,0.00125542979702958
"Cdk5r1",7.41437533714048e-08,-0.15408867007595,1,1,0.00128142648951799
"Rb1cc1",7.48374080228024e-08,-0.148693342840194,1,1,0.00129341492285809
"Prickle1",7.61026553844401e-08,-0.153937030051063,1,1,0.00131528219300928
"Thy1",7.77328846195773e-08,-0.153441109039836,1,1,0.00134345744488016
"Tusc3",7.78326181382188e-08,-0.15171971190175,1,1,0.00134518113928284
"Birc6",8.36429380753905e-08,-0.142492522138088,1,1,0.00144560089875697
"Arhgef9",8.79069889844031e-08,-0.146809017560476,1,1,0.00151929649061744
"Snap25",8.87434985946103e-08,-0.145879663057046,1,1,0.00153375388621065
"Ash1l",9.21515646035854e-08,-0.14729820846119,1,1,0.00159265549104377
"Mettl7a1",9.25444553061353e-08,-0.157208243780518,1,1,0.00159944582105594
"Prkar1b",1.02011792997759e-07,-0.153234024104727,1,1,0.00176306981838026
"Smim13",1.06317679382445e-07,-0.151316910461824,1,1,0.0018374884527668
"Trpc1",1.06751094410569e-07,-0.150801457973557,1,1,0.00184497916469786
"Elmod1",1.0727184462155e-07,-0.14585791956857,1,1,0.00185397929059424
"Magi1",1.09352864144197e-07,-0.149873965216768,1,1,0.00188994555100415
"Clstn3",1.17686171934106e-07,-0.153022453026736,1,1,0.00203397010953715
"Alcam",1.18310678737903e-07,-0.150298667111289,1,1,0.00204476346062718
"Igsf9b",1.34413231455368e-07,-0.154349279462249,1,1,0.00232306387924313
"Pld3",1.39270473770098e-07,-0.15078067560443,1,1,0.0024070115981686
"Tenm4",1.43382461665149e-07,-0.148524505634652,1,1,0.00247807908495877
"Setd2",1.49177909751758e-07,-0.151766023672083,1,1,0.00257824181423964
"Pgm2l1",1.6922242471268e-07,-0.150407273206496,1,1,0.00292467116630926
"Serinc1",1.79799174565829e-07,-0.147675152943743,1,1,0.00310746913402122
"Slc25a25",1.82311139139452e-07,-0.153826081990946,1,1,0.00315088341774715
"Osbpl1a",1.82773203980262e-07,-0.137921678672623,1,1,0.00315886928439088
"Chd8",1.90977946693089e-07,-0.151484410968446,1,1,0.00330067185269666
"Mdh1",2.11335549166202e-07,-0.148164644980466,1,1,0.00365251229623947
"Dmd",2.25885119676021e-07,-0.149254904179784,1,1,0.00390397252336067
"Plk2",2.60895937007821e-07,-0.145815924293605,1,1,0.00450906447930618
"Cacng3",2.63203145920297e-07,-0.140169509057844,1,1,0.00454893997094049
"Lmo4",2.75533837688966e-07,-0.146194556517195,1,1,0.0047620513167784
"Mkl2",2.76911655510398e-07,-0.138070003573085,1,1,0.00478586414218621
"Rasgrf2",2.78642179611771e-07,-0.146375961769825,1,1,0.00481577279023023
"Cox8a",2.83307104171736e-07,-0.145466879715751,1,1,0.00489639668140011
"Sirpa",2.8730275150223e-07,-0.148370287889128,1,1,0.00496545345421305
"Nr4a1",3.02218296818424e-07,-0.150871646106711,1,1,0.00522323882391281
"Cit",3.16116469096445e-07,-0.138390100782589,1,1,0.00546344093539385
"Fam212b",3.18222337996169e-07,-0.146574101721826,1,1,0.00549983666758779
"Pfkp",3.31408368434811e-07,-0.144848389089677,1,1,0.00572773083165885
"Plppr4",3.31778576152385e-07,-0.14596078919255,1,1,0.00573412913164167
"Adcy2",3.40654718087322e-07,-0.148239068078627,1,1,0.00588753549270318
"Zbtb20",3.44223330598567e-07,0.170592703796992,1,1,0.00594921182273503
"Faim2",3.97261637147191e-07,-0.145018675548429,1,1,0.0068658728748149
"Snhg20",4.15382079053999e-07,-0.13997608036856,1,1,0.00717904847229026
"Selenow",4.41313008837397e-07,-0.145520396485372,1,1,0.00762721273173673
"Camk4",4.60541809743654e-07,-0.139684252915896,1,1,0.00795954409779958
"St3gal5",4.63727338867104e-07,-0.144635391725982,1,1,0.00801459959764015
"Stmn3",4.69640155027399e-07,-0.143659053026535,1,1,0.00811679079933854
"Dennd5b",4.92647633689954e-07,-0.143443309983082,1,1,0.00851442905306348
"Nktr",5.02235925421828e-07,-0.128139765433005,1,1,0.00868014349906545
"Hmgcr",5.16073633508574e-07,-0.147834273393302,1,1,0.00891930060792868
"Tmem59l",5.19568323270167e-07,-0.143012835988824,1,1,0.00897969933107829
"Akap11",5.20570129126221e-07,-0.141905889315568,1,1,0.00899701354168847
"Ppp3r1",5.29621989365599e-07,-0.142049513076977,1,1,0.00915345684220564
"Stxbp1",5.41780640247621e-07,-0.13598752723397,1,1,0.00936359480539963
"Ubap2l",5.51122831483277e-07,-0.142980355361283,1,1,0.00952505589652547
"Pam",5.60744600631357e-07,-0.135724221533623,1,1,0.00969134893271175
"Sparcl1",5.74039252100473e-07,-0.144603384318172,1,1,0.00992112039405247
"Ttyh1",6.23950346675661e-07,-0.133697027826803,1,1,0.0107837338415955
"Smg1",6.30532444504094e-07,-0.136611382360351,1,1,0.0108974922383643
"Kcnb1",6.35573846241129e-07,-0.137844007481336,1,1,0.0109846227845854
"Ogt",6.60728121995886e-07,-0.126218569357246,1,1,0.0114193641324549
"Dcx",6.70793759589575e-07,-0.14429800305417,1,1,0.0115933285469866
"Basp1",7.29543587889345e-07,-0.141424905987619,1,1,0.0126087018294916
"Syt7",7.66196281076245e-07,-0.141664738441655,1,1,0.0132421703258407
"Srsf7",9.62211559147432e-07,-0.127304676833455,1,1,0.0166299023767451
